Number,q,T,vi.x,vi.y,objFunc
50,2.000000,0.544162->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.597427,0.593833,-38.698944
50,2.000000,0.544162->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.458239,0.466125,-38.698944
50,2.000000,0.544162->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.443381,0.434353,-38.698944
51,2.000000,0.570239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.592153,0.614887,-43.120457
51,2.000000,0.570239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.467971,0.481547,-43.120457
51,2.000000,0.570239->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.461002,0.415716,-43.120457
52,2.000000,0.597565->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.394606,0.392594,-41.814163
52,2.000000,0.597565->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.481634,0.468126,-41.814163
52,2.000000,0.597565->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.651045,0.657352,-41.814163
53,2.000000,0.626201->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.634030,0.616641,-51.793812
53,2.000000,0.626201->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.531128,0.522712,-51.793812
53,2.000000,0.626201->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.358875,0.380881,-51.793812
54,2.000000,0.65621->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.457486,0.443245,-51.665501
54,2.000000,0.65621->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.596621,0.574447,-51.665501
54,2.000000,0.65621->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.468316,0.499961,-51.665501
55,2.000000,0.687656->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.469016,0.477701,-55.571636
55,2.000000,0.687656->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.524138,0.499075,-55.571636
55,2.000000,0.687656->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.539854,0.545835,-55.571636
56,2.000000,0.720609->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.438150,0.427009,-54.394932
56,2.000000,0.720609->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.514866,0.482782,-54.394932
56,2.000000,0.720609->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.575335,0.613475,-54.394932
57,2.000000,0.755142->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.603718,0.587655,-61.186119
57,2.000000,0.755142->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.482212,0.456315,-61.186119
57,2.000000,0.755142->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.440238,0.474027,-61.186119
58,2.000000,0.791329->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.662883,0.669870,-64.151878
58,2.000000,0.791329->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.422728,0.442717,-64.151878
58,2.000000,0.791329->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.439286,0.408818,-64.151878
59,2.000000,0.82925->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.613190,0.598650,-72.760178
59,2.000000,0.82925->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.452264,0.457885,-72.760178
59,2.000000,0.82925->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.462674,0.467076,-72.760178
60,2.000000,0.868989->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.385051,0.388223,-74.245628
60,2.000000,0.868989->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.534774,0.536158,-74.245628
60,2.000000,0.868989->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.623265,0.614027,-74.245628
61,2.000000,0.910632->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.459917,0.493182,-75.469681
61,2.000000,0.910632->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.521575,0.495058,-75.469681
61,2.000000,0.910632->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.547093,0.535544,-75.469681
62,2.000000,0.95427->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.540060,0.556360,-81.333801
62,2.000000,0.95427->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.477909,0.449809,-81.333801
62,2.000000,0.95427->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515117,0.525870,-81.333801
63,2.000000,1->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.435620,0.465355,-85.762459
63,2.000000,1->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.505338,0.486717,-85.762459
63,2.000000,1->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.580139,0.566692,-85.762459
64,2.000000,1.04792->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.475800,0.459529,-84.603699
64,2.000000,1.04792->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.572603,0.590781,-84.603699
64,2.000000,1.04792->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.485034,0.481098,-84.603699
65,2.000000,1.09814->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.454304,0.469900,-96.787971
65,2.000000,1.09814->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.499484,0.481755,-96.787971
65,2.000000,1.09814->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.576966,0.576160,-96.787971
66,2.000000,1.15076->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.522994,0.520548,-90.619774
66,2.000000,1.15076->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.434642,0.418251,-90.619774
66,2.000000,1.15076->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.571071,0.585585,-90.619774
67,2.000000,1.20591->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.493975,0.504367,-106.772308
67,2.000000,1.20591->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.578925,0.566811,-106.772308
67,2.000000,1.20591->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.451636,0.448374,-106.772308
